,laws,marriage,other,penance,second,cases
in,0.6312992541073399,-1.1804224882356895,-0.028084367960690148,-0.7215177167325589,1.2987253188215986,-2.3528241565914163
non,-1.599369780616775,0.8003317093139973,0.19206028510381765,0.8421851388320489,-0.23520735263308856,-2.7198737098813215
et,0.07500237270980652,-1.4922351584828453,-0.1338558559824469,1.298398745360957,0.2526898963945252,-2.041174324599743
est,-0.30069279031573276,1.0949732925762752,0.11874548968338762,0.6111265996065373,-1.52415259155047,-4.550770418647054
de,-1.4750928982129115,-0.14964538779239053,-0.23607263598137235,0.8447659070399981,1.0160450149466773,-1.752069419181277
quod,0.9441064115010013,0.3139110672178038,0.7134477043868347,-0.45763325684051215,-1.513831926265126,-2.0873600421434895
qui,-1.4981452270789402,-0.5161425400233665,0.7477016958517492,0.886255278891221,0.3803307923593359,-0.4684484258222829
ad,-1.5731499961151723,-0.411284550555286,0.7816005937754893,0.7056759350282822,0.49715801786668656,1.502905814387702
sed,-1.0538056575843238,1.32284293109382,0.7718737750237386,-0.5524178900246867,-0.48849315850854913,-4.969398840972303
unde,0.7576781365063174,-0.7372330925416581,-0.16718097048246966,-1.1190447202875247,1.2657806468053348,-1.8418058980493799
uel,1.5005350628719454,-0.028865439096325305,-0.07659778394236008,-1.317447757142257,-0.07762408269100185,-0.264883206728942
ut,-0.38572108955969714,-0.7490183749717653,0.7864622703322843,1.316727611217898,-0.96845041701872,-2.0810336029773024
si,-1.3825556025655816,0.03221644480178643,-0.5430942563803007,0.9484031659210859,0.9450302482230098,2.069161168548194
autem,1.5135663035022078,-0.18310073135922875,-0.5353615285442417,-1.129974024731974,0.3348699811332377,-3.9166359220568427
cum,1.2305147730462962,0.7689725800303561,-0.07983872706892202,-1.1108456996840455,-0.8088029263236854,-2.088909942252457
a,-0.8275765731251141,-0.36642678712330845,0.6952891781245482,1.3836109132618295,-0.8848967311379551,1.5456142344817434
ex,0.33556710031908776,0.23955980515954495,0.4510070229972096,0.7319477076752132,-1.7580816361510505,-2.7444481288766136
enim,-0.40350525859950265,0.33495651719846015,-0.11880463377263327,1.4525958266949173,-1.2652424515212435,-5.950842201627226
sunt,1.710908864768092,-0.7359679772381332,0.052856263253963975,-0.5229737280910227,-0.5048234226929,-0.9632894878561709
que,-1.051476921718064,0.514189798554265,-0.26049875844980164,1.458117745688216,-0.6603318640746144,-0.5582450317546632
etiam,-1.0209788113207983,-0.6678763501957857,0.12032703945137146,-0.011639393038702834,1.580167515103916,-2.2809934900573587
uero,1.6537230184352762,-0.641174365037921,-0.28481058394914816,-0.8679410505730203,0.14020298112481316,-0.7815131356901313
ab,-0.28047180757557394,0.44184268193328297,1.461756507631555,-1.1804181832354295,-0.442709198753834,4.281803584536227
ait,1.4981845522015256,-1.011205382356136,0.04311623940415636,0.27834310348878855,-0.8084385127383332,-3.3183097682304847
ergo,-0.16254629213654814,0.8436140413054426,0.29805568692578044,0.6709802907057358,-1.6501037268004113,-2.6537106164455393
quia,-0.16790019069196835,1.0976408027780888,0.4464443460375954,0.21211280876152444,-1.5882977668852383,-3.498540043010063
esse,0.047074506114360565,1.6162730132878986,-0.5881384784241631,-0.05723933300782861,-1.0179697079702688,-1.3537538082093155
item,-1.711374870265241,0.8068222336899662,0.44069659552792106,-0.011422789964186428,0.47527883101154045,-2.9299667170315997
per,-1.193532217620639,-0.7898757734019791,0.6337325015338287,1.2401466254151563,0.10952886407363387,0.40909523731004765
nec,0.667215664657047,0.8086872115415854,0.2582213289842408,-1.6827141780753394,-0.05141002710753308,-2.0022184437284976
