,cases,laws,orders1,orders2,other,monastic,heresy,marriage,penance,second
cases,0,2.475579052075628,2.137936413882627,2.2140802688733814,2.21285957829602,1.965332493477327,2.067486696204141,2.165773113782826,2.074893900360192,1.8312245071427582
laws,2.309306916140342,0,1.428706268545865,1.662724981529379,1.3937613155925601,1.3497406359630986,1.380470234692922,1.3029793254332225,1.8331746238187159,1.354716705390778
orders1,1.6402673795230274,1.137991240132057,0,1.1634093055644574,0.7987008057932977,0.9527702992878486,0.878334832567704,1.0503736841156897,0.8427128807596913,0.7973513711284951
orders2,2.0171290857173214,1.7068753026583643,1.451502888067736,0,1.630059595893057,1.6102826715978635,1.621646877748176,1.6023984719611701,1.7687505013484581,1.5004432666951206
other,1.6781948606010708,1.10623977729306,0.7524786215610143,1.2788551890090305,0,0.7501229307760107,0.4994568141548411,0.5132021351314583,0.6232962620465058,0.8644675060475688
monastic,1.4899395286409838,1.0934699315078158,0.9429726271771188,1.2894361885343115,0.7664661747102463,0,0.8279059466933381,0.7188582699645709,0.8495286083863183,0.8826173605190413
heresy,1.5649882322884399,1.1062751586739332,0.8389889809936005,1.289452991654062,0.5419609365073921,0.8493149886436149,0,0.8596311584572393,0.7197748134751589,0.8706019280086503
marriage,1.614146087384122,1.0200146693673184,1.0225408782646375,1.303017141010518,0.5338009690596289,0.7137603274678297,0.8344905374825448,0,0.8447891476942359,0.9113794873254234
penance,1.5723971917167119,1.5267286902464803,0.8543789286889854,1.4904477051086693,0.7176366759521958,0.8644852632337162,0.8175826443907682,0.8774371762900752,0,0.9907714228664604
second,1.404717279869464,1.0873190845158647,0.7943215763753949,1.2161255913992273,0.8887860069160538,0.8783325375173712,0.8997380389303429,0.9155023622314437,0.9649120134530292,0
